ds,yhat,yhat_lower,yhat_upper
2022-08-23,194.68643419600085,166.9028960099803,223.66991086943608
2022-08-24,197.49456508499915,167.60379131206236,226.97445393834417
2022-08-25,196.36779485825127,168.46327038459543,225.81988638762266
2022-08-26,197.7296428747176,170.269962290943,228.08637866141842
2022-08-27,195.44488858399407,167.20794604457467,224.37016422472828
2022-08-28,196.6137302005288,168.2884180547491,224.40470307666368
2022-08-29,196.15870670702853,165.21330141856728,224.07997960380467
2022-08-30,195.6246143937545,167.23225855290474,224.57200372195564
2022-08-31,198.43274528275165,170.4375165052997,227.10218560396746
2022-09-01,197.30597505600477,167.98107658140177,225.5298271244988
2022-09-02,198.6678230724734,168.4824003961175,227.39562448101432
2022-09-03,196.38306878174524,168.56596326013585,226.90731385265278
2022-09-04,197.5519103982817,167.11641430133008,225.5593000614966
2022-09-05,197.09688690477697,168.74907186124565,226.3382661299631
2022-09-06,196.5627945915147,167.1842864366181,225.5187294102903
2022-09-07,199.37092548051226,170.8490832386718,229.14143365807496
2022-09-08,198.24415525375986,168.54302335587744,225.96637585994853
2022-09-09,199.6060032702241,171.81976867656402,228.13083169171156
2022-09-10,197.32124897950095,166.37344303169715,225.76506131837095
2022-09-11,198.49009059604185,170.4130684526808,224.9807912403604
2022-09-12,198.035067102533,169.73111293177814,225.28828730166214
2022-09-13,197.50097478927484,170.87656244338064,227.96456154770476
2022-09-14,200.3091056782593,169.37443920599324,229.26722309049774
2022-09-15,199.18233545151415,169.7769850661274,227.31177571571754
2022-09-16,200.5432834728908,173.2273240893725,230.23200234375875
2022-09-17,198.2576291870729,169.31190005309028,227.19867095825046
2022-09-18,199.42557080852052,170.82212167797599,228.44402173319824
2022-09-19,198.9696473199342,171.37301400400008,229.26953947205482
2022-09-20,198.43465501157624,169.93179746309914,225.53200739257824
2022-09-21,201.24188590548087,172.611988953057,229.5188867149651
2022-09-22,200.11421568364514,170.67517317046168,228.32784991388596
2022-09-23,201.47516370501992,173.15033400431534,228.80912164173495
2022-09-24,199.189509419199,170.12039668059649,229.8943564230609
2022-09-25,200.3574510406565,168.92149187255953,230.41992302493136
2022-09-26,199.9015275520661,170.64309897124576,230.8457311091568
2022-09-27,199.36653524371224,169.1335857506193,229.43340308139096
2022-09-28,202.17376613760922,171.67737192009713,229.64720672945853
2022-09-29,201.0460959157753,170.7475285103834,232.0866782099741
2022-09-30,202.40704393715333,171.42851188919994,230.98101844442945
2022-10-01,200.12138965133602,170.2094596667406,230.19325757345158
2022-10-02,201.289331272778,174.65361480867838,230.80889736186697
2022-10-03,200.83340778419037,170.98354118765414,230.86735498649696
2022-10-04,200.29841547584178,171.20893630372365,230.29410508500885
2022-10-05,203.1056463697402,173.96896563506803,232.67141381063558
2022-10-06,201.9779761479063,175.6220988261961,228.98570012850914
2022-10-07,203.33892416928248,175.67682716547063,232.8369316776329
2022-10-08,201.05326988346218,173.94608162598468,230.11814300186717
2022-10-09,202.06831062837082,172.7365937933126,229.07107413708573
2022-10-10,201.4594862632359,170.39987194816237,230.98796178355428
2022-10-11,200.77159307833884,171.65191082075944,231.32159336509542
2022-10-12,203.4259230956998,174.33303330367687,232.88592097887013
2022-10-13,202.14535199731966,174.59338577872214,231.91554486389558
2022-10-14,203.35339914215496,174.90461699248303,230.9535458812287
2022-10-15,200.9148439797976,169.61086861315653,230.60687229133768
2022-10-16,201.92988472469764,171.95546682042377,226.91884171373553
2022-10-17,201.3210603595577,173.21609555469504,230.88332181630216
2022-10-18,200.6331671746659,172.8179401661602,230.3535333826784
2022-10-19,203.28749719202975,175.20691919856256,232.05505118364516
2022-10-20,202.00692609364816,172.61636728798035,229.58160334912614
2022-10-21,203.2149732384816,175.6431636973065,231.5959014825425
2022-10-22,200.77641807612127,170.78626583854285,229.07798501196334
2022-10-23,201.79145882102392,175.78248989842783,230.7301791306491
2022-10-24,201.1826344558947,172.55498955850152,229.48935169010738
